"filename", "language", "JSON", "HTML", "Markdown", "YAML", "Dart", "Shell Script", "Objective-C", "C++", "XML", "Ruby", "Groovy", "Properties", "Java", "Swift", "comment", "blank", "total"
"c:\Users\mozaffari\Projects\Flutter\doctor_yab\local_packages\dio-http-cache-feature-nullsafety-dio4\example\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 1, 1, 27
"c:\Users\mozaffari\Projects\Flutter\doctor_yab\local_packages\dio-http-cache-feature-nullsafety-dio4\example\ios\Runner\main.m", "Objective-C", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\mozaffari\Projects\Flutter\doctor_yab\local_packages\dio-http-cache-feature-nullsafety-dio4\example\lib\dio_helper.dart", "Dart", 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 48
"c:\Users\mozaffari\Projects\Flutter\doctor_yab\local_packages\dio-http-cache-feature-nullsafety-dio4\example\lib\main.dart", "Dart", 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 84
"c:\Users\mozaffari\Projects\Flutter\doctor_yab\local_packages\dio-http-cache-feature-nullsafety-dio4\example\lib\panels\cache_manage.dart", "Dart", 0, 0, 0, 0, 170, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20, 195
"c:\Users\mozaffari\Projects\Flutter\doctor_yab\local_packages\dio-http-cache-feature-nullsafety-dio4\example\lib\panels\helper.dart", "Dart", 0, 0, 0, 0, 132, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 141
"c:\Users\mozaffari\Projects\Flutter\doctor_yab\local_packages\dio-http-cache-feature-nullsafety-dio4\example\lib\panels\panel_204.dart", "Dart", 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 40
"c:\Users\mozaffari\Projects\Flutter\doctor_yab\local_packages\dio-http-cache-feature-nullsafety-dio4\example\lib\panels\panel_get.dart", "Dart", 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 40
"c:\Users\mozaffari\Projects\Flutter\doctor_yab\local_packages\dio-http-cache-feature-nullsafety-dio4\example\lib\panels\panel_get_bytes.dart", "Dart", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 44
"c:\Users\mozaffari\Projects\Flutter\doctor_yab\local_packages\dio-http-cache-feature-nullsafety-dio4\example\lib\panels\panel_get_from_service.dart", "Dart", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 45
"c:\Users\mozaffari\Projects\Flutter\doctor_yab\local_packages\dio-http-cache-feature-nullsafety-dio4\example\lib\panels\panel_post.dart", "Dart", 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 47
"c:\Users\mozaffari\Projects\Flutter\doctor_yab\local_packages\dio-http-cache-feature-nullsafety-dio4\example\lib\tuple.dart", "Dart", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 14, 57
"c:\Users\mozaffari\Projects\Flutter\doctor_yab\local_packages\dio-http-cache-feature-nullsafety-dio4\example\pubspec.yaml", "YAML", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 21
"c:\Users\mozaffari\Projects\Flutter\doctor_yab\local_packages\dio-http-cache-feature-nullsafety-dio4\example\test\widget_test.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 1, 31
"c:\Users\mozaffari\Projects\Flutter\doctor_yab\local_packages\dio-http-cache-feature-nullsafety-dio4\ios\Runner\GeneratedPluginRegistrant.h", "C++", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 3, 5, 15
"c:\Users\mozaffari\Projects\Flutter\doctor_yab\local_packages\dio-http-cache-feature-nullsafety-dio4\ios\Runner\GeneratedPluginRegistrant.m", "Objective-C", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 3, 5, 13
